word,lemma,lemma_log_freq,RE,word_log_freq,root_wholeSuffix_TP,root_firstSuffix_TP,mood_tense_TP,tense_person_TP,root_lastSuffix_TP
plantarías,plantar,4.587924132208408,0.27269241375529385,0.7781512503836436,0.16960856979321468,0.9017645796273102,0.7970511254410442,0.7588480383651803,0.8221004351201501
plantaríamos,plantar,4.587924132208408,0.27269241375529385,0.9542425094393249,0.2079900368753478,0.9017645796273102,0.7970511254410442,0.8093677774324042,0.6529391306990934
plantarían,plantar,4.587924132208408,0.27269241375529385,1.146128035678238,0.24981407770719752,0.9017645796273102,0.7970511254410442,0.9005953426260963,0.7687540087682909
plantaré,plantar,4.587924132208408,0.27269241375529385,1.968482948553935,0.4290574324746737,0.9017645796273102,,0.7156535719579533,0.6148440794032646
plantarás,plantar,4.587924132208408,0.27269241375529385,1.6532125137753437,0.3603399851731127,0.9017645796273102,,0.6796042104226108,0.8221004351201501
plantará,plantar,4.587924132208408,0.27269241375529385,2.285557309007774,0.49816806972952615,0.9017645796273102,,0.846413247917702,0.49816806972952615
plantaremos,plantar,4.587924132208408,0.27269241375529385,1.7853298350107671,0.3891367388744056,0.9017645796273102,,0.7220489182901982,0.6529391306990934
plantarán,plantar,4.587924132208408,0.27269241375529385,2.3201462861110542,0.5057072042283852,0.9017645796273102,,0.7707207647920508,0.7687540087682909
nadaba,nadar,4.320167065254232,0.7350497890065932,2.7442929831226763,0.6352284394726714,0.684160521032899,,0.97624971162829,0.7100287550097021
nadabas,nadar,4.320167065254232,0.7350497890065932,0.7781512503836436,0.18012063853781804,0.684160521032899,,0.7217199903468794,0.5727130980594736
nadábamos,nadar,4.320167065254232,0.7350497890065932,1.5314789170422551,0.35449529935068175,0.684160521032899,,0.7756824360345344,0.5905905858348394
nadaban,nadar,4.320167065254232,0.7350497890065932,2.4871383754771865,0.5757042118765433,0.684160521032899,,0.9120103763423913,0.750271306213768
nadaría,nadar,4.320167065254232,0.7350497890065932,1.724275869600789,0.39912249770815733,0.9419307056071129,0.7970511254410442,0.9801186517326936,0.7100287550097021
nadarías,nadar,4.320167065254232,0.7350497890065932,0.0,0.0,0.9419307056071129,0.7970511254410442,0.7588480383651803,0.5727130980594736
nadaríamos,nadar,4.320167065254232,0.7350497890065932,0.8450980400142568,0.19561698129943147,0.9419307056071129,0.7970511254410442,0.8093677774324042,0.5905905858348394
nadarían,nadar,4.320167065254232,0.7350497890065932,0.6020599913279624,0.13936034931846614,0.9419307056071129,0.7970511254410442,0.9005953426260963,0.750271306213768
nadaré,nadar,4.320167065254232,0.7350497890065932,1.255272505103306,0.290561102416403,0.9419307056071129,,0.7156535719579533,0.5132866184848369
nadarás,nadar,4.320167065254232,0.7350497890065932,0.9030899869919435,0.20904052397769918,0.9419307056071129,,0.6796042104226108,0.5727130980594736
nadará,nadar,4.320167065254232,0.7350497890065932,1.7781512503836436,0.4115931683949828,0.9419307056071129,,0.846413247917702,0.4115931683949828
nadaremos,nadar,4.320167065254232,0.7350497890065932,1.3222192947339193,0.3060574451780165,0.9419307056071129,,0.7220489182901982,0.5905905858348394
nadarán,nadar,4.320167065254232,0.7350497890065932,1.3424226808222062,0.31073397406755326,0.9419307056071129,,0.7707207647920508,0.750271306213768
rotaba,rotar,3.9242792860618816,0.511113196989044,2.0718820073061255,0.5279649729989819,0.6027827818709431,,0.97624971162829,0.850107506291728
rotabas,rotar,3.9242792860618816,0.511113196989044,0.3010299956639812,0.07670962582433137,0.6027827818709431,,0.7217199903468794,0.7343908935267752
rotábamos,rotar,3.9242792860618816,0.511113196989044,0.9542425094393249,0.24316376075183288,0.6027827818709431,,0.7756824360345344,0.5150472613528624
rotaban,rotar,3.9242792860618816,0.511113196989044,2.012837224705172,0.5129189535144191,0.6027827818709431,,0.9120103763423913,0.7679574968058658
rotaría,rotar,3.9242792860618816,0.511113196989044,1.255272505103306,0.3198733865761642,0.875575687967412,0.7970511254410442,0.9801186517326936,0.850107506291728
rotarías,rotar,3.9242792860618816,0.511113196989044,0.0,0.0,0.875575687967412,0.7970511254410442,0.7588480383651803,0.7343908935267752
rotaríamos,rotar,3.9242792860618816,0.511113196989044,0.0,0.0,0.875575687967412,0.7970511254410442,0.8093677774324042,0.5150472613528624
rotarían,rotar,3.9242792860618816,0.511113196989044,1.0,0.2548238611741435,0.875575687967412,0.7970511254410442,0.9005953426260963,0.7679574968058658
rotaré,rotar,3.9242792860618816,0.511113196989044,0.0,0.0,0.875575687967412,,0.7156535719579533,0.2750011320245792
rotarás,rotar,3.9242792860618816,0.511113196989044,0.3010299956639812,0.07670962582433137,0.875575687967412,,0.6796042104226108,0.7343908935267752
rotará,rotar,3.9242792860618816,0.511113196989044,1.9395192526186185,0.4942357847738654,0.875575687967412,,0.846413247917702,0.4942357847738654
rotaremos,rotar,3.9242792860618816,0.511113196989044,0.6020599913279624,0.15341925164866274,0.875575687967412,,0.7220489182901982,0.5150472613528624
rotarán,rotar,3.9242792860618816,0.511113196989044,1.8512583487190752,0.47174480045146383,0.875575687967412,,0.7707207647920508,0.7679574968058658
pactaba,pactar,4.228708259801973,0.4949051276892227,1.7781512503836436,0.4204951349533186,0.49253465653220196,,0.97624971162829,0.7588554991557936
pactabas,pactar,4.228708259801973,0.4949051276892227,0.3010299956639812,0.07118722247301075,0.49253465653220196,,0.7217199903468794,0.7569980477578006
pactábamos,pactar,4.228708259801973,0.4949051276892227,0.47712125471966244,0.11282907815021641,0.49253465653220196,,0.7756824360345344,0.5510935326284065
pactaban,pactar,4.228708259801973,0.4949051276892227,1.7481880270062005,0.4134094668162487,0.49253465653220196,,0.9120103763423913,0.7656699858092235
pactaría,pactar,4.228708259801973,0.4949051276892227,1.5797835966168101,0.37358538342174263,0.8705356367024423,0.7970511254410442,0.9801186517326936,0.7588554991557936
pactarías,pactar,4.228708259801973,0.4949051276892227,0.0,0.0,0.8705356367024423,0.7970511254410442,0.7588480383651803,0.7569980477578006
pactaríamos,pactar,4.228708259801973,0.4949051276892227,0.0,0.0,0.8705356367024423,0.7970511254410442,0.8093677774324042,0.5510935326284065
pactarían,pactar,4.228708259801973,0.4949051276892227,1.3010299956639813,0.3076660568031022,0.8705356367024423,0.7970511254410442,0.9005953426260963,0.7656699858092235
pactaré,pactar,4.228708259801973,0.4949051276892227,1.3010299956639813,0.3076660568031022,0.8705356367024423,,0.7156535719579533,0.41155894012318167
pactarás,pactar,4.228708259801973,0.4949051276892227,0.47712125471966244,0.11282907815021641,0.8705356367024423,,0.6796042104226108,0.7569980477578006
pactará,pactar,4.228708259801973,0.4949051276892227,1.8750612633917,0.4434123018643778,0.8705356367024423,,0.846413247917702,0.4434123018643778
pactaremos,pactar,4.228708259801973,0.4949051276892227,0.3010299956639812,0.07118722247301075,0.8705356367024423,,0.7220489182901982,0.5510935326284065
pactarán,pactar,4.228708259801973,0.4949051276892227,1.6989700043360187,0.4017704461871721,0.8705356367024423,,0.7707207647920508,0.7656699858092235
