,target,avg_bigram_freq
351,tasaba,13971.2
352,tasabas,21067.333333333332
353,tasábamos,59075.0
354,tasaban,13403.333333333334
355,tasaría,12114.666666666666
356,tasarías,18462.285714285714
357,tasaríamos,53192.0
358,tasarían,11893.142857142857
359,tasaré,14362.4
360,tasarás,12109.5
361,tasará,14390.6
362,tasaremos,58020.5
363,tasarán,12033.166666666666
364,ardía,3641.5
365,ardías,14222.8
366,ardíamos,60086.57142857143
367,ardían,5026.0
368,ardería,21249899.333333332
369,arderías,18222277.714285713
370,arderíamos,14211715.111111112
371,arderían,18215708.57142857
372,arderé,25499704.0
373,arderás,21249894.166666668
374,arderá,25499732.2
375,arderemos,15986359.0
376,arderán,21249817.833333332
377,barría,1798.2
378,barrías,10923.166666666666
379,barríamos,51878.875
380,barrían,3259.1666666666665
381,barrería,4723.714285714285
382,barrerías,11201.75
383,barreríamos,43910.6
384,barrerían,5453.75
385,barreré,5365.0
386,barrerás,4719.285714285715
387,barrerá,5388.5
388,barreremos,47171.333333333336
389,barrerán,4653.857142857143
390,cedía,3653.5
391,cedías,14232.4
392,cedíamos,60093.42857142857
393,cedían,5035.6
394,cedería,21249907.333333332
395,cederías,18222284.57142857
396,cederíamos,14211720.444444444
397,cederían,18215715.42857143
398,cederé,25499713.6
399,cederás,21249902.166666668
400,cederá,25499741.8
401,cederemos,15986365.0
402,cederán,21249825.833333332
403,comía,140967.75
404,comías,124083.8
405,comíamos,138558.7142857143
406,comían,114887.0
407,comería,1122070.5
408,comerías,969853.0
409,comeríamos,793162.5555555555
410,comerían,963283.8571428572
411,comeré,1346309.4
412,comerás,1122065.3333333333
413,comerá,1346337.6
414,comeremos,890487.375
415,comerán,1121989.0
416,corría,3892.6
417,corrías,12668.5
418,corríamos,53187.875
419,corrían,5004.5
420,correría,6219.714285714285
421,correrías,12510.75
422,correríamos,44957.8
423,correrían,6762.75
424,correré,7110.333333333333
425,correrás,6215.285714285715
426,correrá,7133.833333333333
427,correremos,48334.88888888889
428,correrán,6149.857142857143
429,cosía,324439.75
430,cosías,270861.4
431,cosíamos,243399.85714285713
432,cosían,261664.6
433,cosería,4227632.0
434,coserías,3631762.8571428573
435,coseríamos,2863536.888888889
436,coserían,3625193.714285714
437,coseré,5072983.2
438,coserás,4227626.833333333
439,coserá,5073011.4
440,coseremos,3219658.5
441,coserán,4227550.5
442,creía,5777.0
443,creías,15931.2
444,creíamos,61306.857142857145
445,creían,6734.4
446,creería,4392.666666666667
447,creerías,11843.42857142857
448,creeríamos,48044.0
449,creerían,5274.285714285715
450,creeré,5096.0
451,creerás,4387.5
452,creerá,5124.2
453,creeremos,52229.0
454,creerán,4311.166666666667
455,lamía,16040352.5
456,lamías,12843591.6
457,lamíamos,9223921.42857143
458,lamían,12834394.8
459,lamería,11721660.333333334
460,lamerías,10055215.714285715
461,lameríamos,7859555.777777778
462,lamerían,10048646.57142857
463,lameré,14065817.2
464,lamerás,11721655.166666666
465,lamerá,14065845.4
466,lameremos,8840179.75
467,lamerán,11721578.833333334
468,leía,1666519.0
469,leías,1264026.25
470,leíamos,900932.8333333334
471,leían,1252530.25
472,leería,1000561.0
473,leerías,843225.5
474,leeríamos,676105.625
475,leerían,835561.5
476,leeré,1250482.25
